,id,name,sku,price,list_price,discount,discount_rate,inventory_status,max_sale_qty,qty
0,38323087,(Giá Hủy Diệt) Ổ Cứng Di Động HDD WD My Passport 1TB / 2TB / 4TB / 5TB Model 2019 - Hàng Nhập Khẩu,9386900000000.0,1385000,1390000,5000,0,available,1000,1000
1,26314426,Dây Cáp Mạng Cat6 Bấm Sẵn 2 đầu,9365510000000.0,75000,75000,0,0,available,1000,1000
2,134561311,USB 3.0 SanDisk Ultra Flair CZ73 - Hàng Nhập Khẩu,8367090000000.0,110000,110000,0,0,available,1000,1000
3,8608925,Hộp mực dành cho máy in Laser Brother HL-L2321D.,6460060000000.0,111900,111900,0,0,available,1000,1000
4,46634155,Dây Cáp Mạng Cat6 Bấm Sẵn 2 đầu,7172020000000.0,48000,48000,0,0,available,1000,1000
5,173164642,Dây cáp mạng LAN bấm sẵn 2 đầu Cat6 UTP Kingmaster - Hàng chính hãng,8745710000000.0,50000,50000,0,0,available,1000,1000
6,217317583,Box Orico Đựng Ổ Cứng HDD/SSD 2.5 inch 2520C3 - Hàng Nhập Khẩu,3771760000000.0,97000,100000,3000,3,available,1000,1000
7,171869909,Dây mạng bấm sẵn chuẩn Cat7 Kingmaster - Hàng chính hãng,8959670000000.0,90000,90000,0,0,available,1000,1000
8,216462048,Box đựng ổ cứng Orico SSD M2 PCIe NVMe To USB 3.1 Gen 2 Type C Aluminum M2PJ C3 - Hàng nhập khẩu,5472670000000.0,350000,350000,0,0,available,1000,1000
9,21089128,Bộ Thu Wifi USB TP-Link TL-WN722N Chuẩn N 150Mbps - Hàng Chính Hãng,9411830000000.0,155000,279000,124000,44,available,1000,1000
10,74975883,Bộ Phát Wifi TP-Link Archer C54 Băng Tần Kép Chuẩn AC1200 - Hàng Chính Hãng,8856700000000.0,409000,858000,449000,52,available,1000,1000
11,54439144,Bộ Chuyển Đổi USB Wifi TP-Link Archer T2U Plus Công Suất Cao AC600 - Hàng Chính Hãng,1416840000000.0,249000,349000,100000,29,available,1000,1000
