all_time_quantity_sold,product_id,seller_id,brand_id,category_id
1308.0,247241481,200265,143406,1846
258.0,217317583,25203,110682,5350
4334.0,74975883,154163,27464,4293
145.0,216462048,25203,110682,5350
562.0,53056161,198012,19246,1846
527.0,167932609,1,49067,28932
2427.0,17967481,129537,25422,4343
2075.0,10001384,25203,18802,1846
159.0,204765801,260643,4539641,28952
2143.0,76030024,154163,27464,1846
391.0,174029994,65836,19073,1828
537.0,247241493,200265,143406,1846
429.0,15668735,26446,111461,28908
888.0,44012580,25203,18802,1846
9996.0,134561311,783,18845,1828
1.0,556642,200265,21862,2146
2222.0,419322,1,18806,1846
1701.0,160440903,65836,19073,1828
2253.0,38323087,25203,21862,28842
2803.0,74559331,154163,27464,4343
4684.0,419310,1,18806,1846
555.0,51845073,1,17825,6556
49.0,214050026,312039,7823211,28932
439.0,146012358,783,18845,28840
1117.0,2901371,1,18806,6561
1128.0,26314426,73012,111461,4642
977.0,74573141,154163,27464,4293
7.0,197190455,915,33036,4345
296.0,174593821,278788,199239,4343
727.0,21089128,154163,27464,4294
1.0,10001351,121374,18802,2679
2729.0,138481685,1,19246,6255
374.0,51729979,1,17825,6556
936.0,416978,154163,27464,4294
260.0,511960,154163,27464,4343
2641.0,8608925,65686,111461,28944
93.0,217443551,25203,21862,2146
600.0,618526,1242,19073,1846
355.0,73312665,25203,18845,28840
99.0,194134411,278788,199239,4293
2917.0,54439144,154163,27464,1846
105.0,200815573,198012,19246,6255
310.0,2130041,154163,27464,4345
187.0,58116278,25203,208251,2679
3.0,754249,1242,112149,51698
423.0,12404568,154163,27464,4293
1572.0,20637413,65686,111461,28944
51.0,16770500,76796,21437,28838
1.0,208062520,46736,111461,1846
16.0,77915998,101260,111461,29006
2474.0,10001382,25203,18802,1846
1052.0,73666130,65686,111461,28944
3013.0,16572969,65686,111461,28944
143.0,193763732,278788,199239,4343
486.0,10769836,25203,18802,2146
547.0,66930382,27572,48191,4293
957.0,10001369,25203,18802,2679
702.0,547563,27572,48191,1846
803.0,74561265,5411,312329,5350
120.0,215099700,2170,19246,6255
358.0,63191179,25203,21862,4051
937.0,76283023,25203,18802,2146
144.0,187392403,25203,18802,28840
253.0,77605790,217686,112149,1846
321.0,74311543,154163,27464,4293
9142.0,356387,1,21862,1827
380.0,25319983,49929,18845,1828
186.0,416911,154163,27464,4294
27.0,221225607,27572,215231,12672
3013.0,459733,3103,20972,28944
139.0,124483882,25203,18802,12298
71.0,199051799,1,18802,28932
179.0,1582161,154163,27464,4345
2725.0,124742926,1,17827,2458
287.0,15270539,154163,27464,4343
22.0,243252575,187121,244759,4345
1.0,143714177,15937,19073,1828
585.0,68828151,67624,25422,1846
740.0,35339655,1,18802,28932
821.0,410704,1,21862,28842
317.0,87034145,65686,111461,28944
1025.0,32246331,65686,111461,28944
1594.0,23393172,1,17825,6556
133.0,754245,217686,112149,4294
212.0,9979633,73012,111461,28920
200.0,52105812,65686,111461,28944
1632.0,20907214,25203,18802,1846
368.0,74547194,154163,27464,1846
275.0,456510,154163,27464,4454
2317.0,52373199,65686,111461,28944
1278.0,43973407,65686,111461,1846
3.0,72741594,915,33036,11964
823.0,97991447,183951,4810691,28944
155.0,183050828,141792,4539407,28904
65.0,201965201,65686,111461,28944
262.0,140107134,783,18845,28840
344.0,189371238,116331,79935,6255
124.0,12404601,154163,27464,4293
163.0,169695798,60386,374429,28906
1.0,225386873,15937,19073,1828
8.0,89783330,5346,111461,29006
726.0,74561661,154163,27464,4294
335.0,63190320,25203,21862,4051
13.0,212558124,25203,21862,2146
289.0,110055062,73012,111461,5350
417.0,191975880,297182,18803,1828
95.0,6909331,154163,27464,4343
220.0,74850075,25203,21862,4051
277.0,10001353,25203,18802,2679
2.0,193925997,3103,18805,28932
454.0,52192246,65686,111461,1846
716.0,207891244,858,143406,1846
1526.0,17620717,65686,111461,28944
93.0,205957921,73012,461155,28904
38.0,191271050,20428,4510525,28932
299.0,173164642,73012,195495,4642
433.0,16387290,25203,18802,12298
231.0,456506,154163,27464,1846
14.0,14388647,45223,110682,5350
879.0,17954263,1,26707,28932
