,id
0,247241481
1,217317583
2,74975883
3,216462048
4,53056161
5,167932609
6,17967481
7,10001384
8,204765801
9,76030024
10,174029994
11,247241493
12,15668735
13,44012580
14,134561311
15,556642
16,419322
17,160440903
18,38323087
19,74559331
20,419310
21,51845073
22,214050026
23,146012358
24,2901371
25,26314426
26,74573141
27,197190455
28,174593821
29,21089128
30,10001351
31,138481685
32,51729979
33,416978
34,511960
35,8608925
36,217443551
37,618526
38,73312665
39,194134411
40,54439144
41,200815573
42,2130041
43,58116278
44,754249
45,12404568
46,20637413
47,16770500
48,208062520
49,77915998
50,10001382
51,73666130
52,16572969
53,193763732
54,10769836
55,66930382
56,10001369
57,547563
58,74561265
59,215099700
60,63191179
61,76283023
62,187392403
63,77605790
64,74311543
65,356387
66,25319983
67,416911
68,221225607
69,459733
70,124483882
71,199051799
72,1582161
73,124742926
74,15270539
75,243252575
76,143714177
77,68828151
78,35339655
79,410704
80,87034145
81,32246331
82,23393172
83,754245
84,9979633
85,52105812
86,20907214
87,74547194
88,456510
89,52373199
90,43973407
91,72741594
92,97991447
93,183050828
94,201965201
95,140107134
96,189371238
97,12404601
98,169695798
99,225386873
100,89783330
101,74561661
102,63190320
103,212558124
104,110055062
105,191975880
106,6909331
107,74850075
108,10001353
109,193925997
110,52192246
111,207891244
112,17620717
113,205957921
114,191271050
115,173164642
116,16387290
117,456506
118,14388647
119,17954263
120,53254176
121,190315447
122,491362
123,87036279
124,16305404
125,252011585
126,56417646
127,54839622
128,189371737
129,107058325
130,14469139
131,200845974
132,195656317
133,67619329
134,212111964
135,28078365
136,456497
137,66792707
138,575388
139,214875385
140,153547112
141,16610279
142,68600962
143,134641513
144,24635552
145,2902221
146,12204837
147,80980996
148,24635126
149,208379860
150,225940290
151,56248606
152,76054860
153,12011385
154,459843
155,25318830
156,201936769
157,55576273
158,141774303
159,208440428
160,141567830
161,190794920
162,16308170
163,15337513
164,58257520
165,94161538
166,170154615
167,575519
168,250099379
169,6841341
170,16397909
171,10001330
172,169198068
173,455445
174,10001349
175,171869909
176,23468494
177,65107101
178,124897242
179,77516386
180,97346988
181,72680847
182,46634155
183,216097072
184,103821061
185,174216534
186,194198167
187,150672784
188,6910261
189,206112507
190,54616069
191,59502552
192,459201
193,57357726
194,95266695
195,10001326
196,6711831
197,7458771
198,157504855
199,15680869
200,130048917
201,81830444
202,11194805
203,196939150
204,189540673
205,155765566
206,98233872
207,10001377
208,23397939
209,134559638
210,24902640
211,806744
212,110948705
213,215099692
214,8089082
215,107360880
216,69162730
217,561879
218,763675
219,191270045
220,208077288
221,138315921
222,10001367
223,10001357
224,8114281
225,12404603
226,77105849
227,14293641
228,137959617
229,32453922
230,165667261
231,198207951
232,25206026
233,114699552
234,16667097
235,109347126
236,94173429
237,5413859
238,195656641
239,165588636
240,15353548
241,73199681
242,16396285
243,101901207
244,12404609
245,74309855
246,142782679
247,198203383
248,26218961
249,17904891
250,203213313
251,44012841
252,152383382
253,182308716
254,197670914
255,249288542
256,169198565
257,7857797
258,201965545
259,206157359
260,56380242
261,49728912
262,58677681
263,213920368
264,169039064
265,98923791
266,56190273
267,46757834
268,8081443
269,56067914
270,186359410
271,171233670
272,220671238
273,23557774
274,459084
275,144232807
276,195536650
277,173380884
278,16161475
279,54764213
280,201936149
281,76664325
282,416990
283,188176208
284,80799408
285,204664136
286,11354023
287,55196708
288,106375760
289,202492275
290,185922577
291,22555481
292,99998451
293,57268501
294,205757256
295,191918608
296,196057971
297,57657389
298,159887307
299,248645535
300,185944336
301,86123397
302,186267931
303,178477024
304,40547505
305,53704413
306,51733508
307,52368889
308,127668958
309,11931292
310,171973454
311,57666163
312,70944880
313,112131582
314,143105681
315,51352620
316,25208975
317,20393324
318,117095465
319,153786458
320,192010844
321,192156146
322,71893664
323,239419819
324,198119999
325,138315865
326,146189682
327,188089635
328,169277166
329,23799966
330,13644506
331,22883541
332,15351084
333,203211116
334,195255692
335,21259629
336,73666370
337,10001355
338,6081021
339,97829401
340,251873638
341,130048539
342,456525
343,85754942
344,209349950
345,199042652
346,125579569
347,99642436
348,816127
349,2691283
350,8315170
351,72288260
352,456521
353,11407472
354,78971544
355,102901250
356,69355415
357,33164951
358,447634
359,197241284
360,126864503
361,193002944
362,125936315
